Column,Unit,Description
m_ap_bessell_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
merr_ap_bessell_r,mag,Mean error on m_ap_bessell_r
flag_bessell_r,mag,Flag set to true for sources for which niether the bessell_r aperture nor total flux should not be used for SED fitting (see documentation).
f_bessell_u,uJy,Total flux density in the U band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
ferr_bessell_u,uJy,Uncertainty on f_bessell_u.
f_ap_bessell_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
ferr_ap_bessell_u,uJy,Uncertainty on f_ap_bessell_u.
m_bessell_u,mag,Total AB magnitude in the U band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
merr_bessell_u,mag,Mean error on m_bessell_u.
m_ap_bessell_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
merr_ap_bessell_u,mag,Mean error on m_ap_bessell_u
flag_bessell_u,mag,Flag set to true for sources for which niether the bessell_u aperture nor total flux should not be used for SED fitting (see documentation).
f_bessell_v,uJy,Total flux density in the V band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
ferr_bessell_v,uJy,Uncertainty on f_bessell_v.
f_ap_bessell_v,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the V band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
ferr_ap_bessell_v,uJy,Uncertainty on f_ap_bessell_v.
m_bessell_v,mag,Total AB magnitude in the V band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown).
merr_bessell_v,mag,Mean error on m_bessell_v.
m_ap_bessell_v,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the V band of Standard camera response (camera unknown) on Standardised telescope response (telescope uknown)."
merr_ap_bessell_v,mag,Mean error on m_ap_bessell_v
flag_bessell_v,mag,Flag set to true for sources for which niether the bessell_v aperture nor total flux should not be used for SED fitting (see documentation).
f_cfht12k_b,uJy,Total flux density in the B band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT).
ferr_cfht12k_b,uJy,Uncertainty on f_cfht12k_b.
f_ap_cfht12k_b,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT)."
ferr_ap_cfht12k_b,uJy,Uncertainty on f_ap_cfht12k_b.
m_cfht12k_b,mag,Total AB magnitude in the B band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT).
merr_cfht12k_b,mag,Mean error on m_cfht12k_b.
m_ap_cfht12k_b,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT)."
merr_ap_cfht12k_b,mag,Mean error on m_ap_cfht12k_b
flag_cfht12k_b,mag,Flag set to true for sources for which niether the cfht12k_b aperture nor total flux should not be used for SED fitting (see documentation).
f_cfht12k_i,uJy,Total flux density in the I band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT).
ferr_cfht12k_i,uJy,Uncertainty on f_cfht12k_i.
f_ap_cfht12k_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT)."
ferr_ap_cfht12k_i,uJy,Uncertainty on f_ap_cfht12k_i.
m_cfht12k_i,mag,Total AB magnitude in the I band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT).
merr_cfht12k_i,mag,Mean error on m_cfht12k_i.
m_ap_cfht12k_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT)."
merr_ap_cfht12k_i,mag,Mean error on m_ap_cfht12k_i
flag_cfht12k_i,mag,Flag set to true for sources for which niether the cfht12k_i aperture nor total flux should not be used for SED fitting (see documentation).
f_cfht12k_r,uJy,Total flux density in the R band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT).
ferr_cfht12k_r,uJy,Uncertainty on f_cfht12k_r.
f_ap_cfht12k_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT)."
ferr_ap_cfht12k_r,uJy,Uncertainty on f_ap_cfht12k_r.
m_cfht12k_r,mag,Total AB magnitude in the R band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT).
merr_cfht12k_r,mag,Mean error on m_cfht12k_r.
m_ap_cfht12k_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of The CFH12K prime focus 12K camera on Canada France Hawaii Telescope (CFHT)."
merr_ap_cfht12k_r,mag,Mean error on m_ap_cfht12k_r
flag_cfht12k_r,mag,Flag set to true for sources for which niether the cfht12k_r aperture nor total flux should not be used for SED fitting (see documentation).
f_decam_g,uJy,Total flux density in the B band of The Dark Energy Camera (DECam) on Blanco.
ferr_decam_g,uJy,Uncertainty on f_decam_g.
f_ap_decam_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of The Dark Energy Camera (DECam) on Blanco."
ferr_ap_decam_g,uJy,Uncertainty on f_ap_decam_g.
m_decam_g,mag,Total AB magnitude in the B band of The Dark Energy Camera (DECam) on Blanco.
merr_decam_g,mag,Mean error on m_decam_g.
