Column,Unit,Description
m_ap_newfirm_j,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_j,mag,Mean error on m_ap_newfirm_j
flag_newfirm_j,mag,Flag set to true for sources for which niether the newfirm_j aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_j1,uJy,Total flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_j1,uJy,Uncertainty on f_newfirm_j1.
f_ap_newfirm_j1,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_j1,uJy,Uncertainty on f_ap_newfirm_j1.
m_newfirm_j1,mag,Total AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_j1,mag,Mean error on m_newfirm_j1.
m_ap_newfirm_j1,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_j1,mag,Mean error on m_ap_newfirm_j1
flag_newfirm_j1,mag,Flag set to true for sources for which niether the newfirm_j1 aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_j2,uJy,Total flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_j2,uJy,Uncertainty on f_newfirm_j2.
f_ap_newfirm_j2,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_j2,uJy,Uncertainty on f_ap_newfirm_j2.
m_newfirm_j2,mag,Total AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_j2,mag,Mean error on m_newfirm_j2.
m_ap_newfirm_j2,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_j2,mag,Mean error on m_ap_newfirm_j2
flag_newfirm_j2,mag,Flag set to true for sources for which niether the newfirm_j2 aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_j3,uJy,Total flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_j3,uJy,Uncertainty on f_newfirm_j3.
f_ap_newfirm_j3,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_j3,uJy,Uncertainty on f_ap_newfirm_j3.
m_newfirm_j3,mag,Total AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_j3,mag,Mean error on m_newfirm_j3.
m_ap_newfirm_j3,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_j3,mag,Mean error on m_ap_newfirm_j3
flag_newfirm_j3,mag,Flag set to true for sources for which niether the newfirm_j3 aperture nor total flux should not be used for SED fitting (see documentation).
f_newfirm_k,uJy,Total flux density in the K band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
ferr_newfirm_k,uJy,Uncertainty on f_newfirm_k.
f_ap_newfirm_k,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
ferr_ap_newfirm_k,uJy,Uncertainty on f_ap_newfirm_k.
m_newfirm_k,mag,Total AB magnitude in the K band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory.
merr_newfirm_k,mag,Mean error on m_newfirm_k.
m_ap_newfirm_k,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM) on National Optical Astronomy Observatory (NOAO) Gemini Observatory."
merr_ap_newfirm_k,mag,Mean error on m_ap_newfirm_k
flag_newfirm_k,mag,Flag set to true for sources for which niether the newfirm_k aperture nor total flux should not be used for SED fitting (see documentation).
f_nicmos_f110w,uJy,Total flux density in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST).
ferr_nicmos_f110w,uJy,Uncertainty on f_nicmos_f110w.
f_ap_nicmos_f110w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST)."
ferr_ap_nicmos_f110w,uJy,Uncertainty on f_ap_nicmos_f110w.
m_nicmos_f110w,mag,Total AB magnitude in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST).
merr_nicmos_f110w,mag,Mean error on m_nicmos_f110w.
m_ap_nicmos_f110w,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST)."
merr_ap_nicmos_f110w,mag,Mean error on m_ap_nicmos_f110w
flag_nicmos_f110w,mag,Flag set to true for sources for which niether the nicmos_f110w aperture nor total flux should not be used for SED fitting (see documentation).
f_nicmos_f160w,uJy,Total flux density in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST).
ferr_nicmos_f160w,uJy,Uncertainty on f_nicmos_f160w.
f_ap_nicmos_f160w,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST)."
ferr_ap_nicmos_f160w,uJy,Uncertainty on f_ap_nicmos_f160w.
m_nicmos_f160w,mag,Total AB magnitude in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST).
merr_nicmos_f160w,mag,Mean error on m_nicmos_f160w.
m_ap_nicmos_f160w,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 100-200nm band of The Near Infrared Camera and Multi-Object Spectrometer (NICMOS) on Hubble Space Telescope (HST)."
merr_ap_nicmos_f160w,mag,Mean error on m_ap_nicmos_f160w
flag_nicmos_f160w,mag,Flag set to true for sources for which niether the nicmos_f160w aperture nor total flux should not be used for SED fitting (see documentation).
f_omega2000_j,uJy,Total flux density in the J band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto.
ferr_omega2000_j,uJy,Uncertainty on f_omega2000_j.
f_ap_omega2000_j,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto."
ferr_ap_omega2000_j,uJy,Uncertainty on f_ap_omega2000_j.
m_omega2000_j,mag,Total AB magnitude in the J band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto.
merr_omega2000_j,mag,Mean error on m_omega2000_j.
m_ap_omega2000_j,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto."
merr_ap_omega2000_j,mag,Mean error on m_ap_omega2000_j
flag_omega2000_j,mag,Flag set to true for sources for which niether the omega2000_j aperture nor total flux should not be used for SED fitting (see documentation).
f_omega2000_ks,uJy,Total flux density in the K band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto.
ferr_omega2000_ks,uJy,Uncertainty on f_omega2000_ks.
f_ap_omega2000_ks,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto."
ferr_ap_omega2000_ks,uJy,Uncertainty on f_ap_omega2000_ks.
m_omega2000_ks,mag,Total AB magnitude in the K band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto.
merr_omega2000_ks,mag,Mean error on m_omega2000_ks.
m_ap_omega2000_ks,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The Infrared Wide-Field Camera OMEGA2000 on The 3.5m telescope at Calar Alto."
merr_ap_omega2000_ks,mag,Mean error on m_ap_omega2000_ks
flag_omega2000_ks,mag,Flag set to true for sources for which niether the omega2000_ks aperture nor total flux should not be used for SED fitting (see documentation).
f_omegacam_g,uJy,Total flux density in the B band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
ferr_omegacam_g,uJy,Uncertainty on f_omegacam_g.
f_ap_omegacam_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
ferr_ap_omegacam_g,uJy,Uncertainty on f_ap_omegacam_g.
m_omegacam_g,mag,Total AB magnitude in the B band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
merr_omegacam_g,mag,Mean error on m_omegacam_g.
m_ap_omegacam_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
merr_ap_omegacam_g,mag,Mean error on m_ap_omegacam_g
flag_omegacam_g,mag,Flag set to true for sources for which niether the omegacam_g aperture nor total flux should not be used for SED fitting (see documentation).
f_omegacam_i,uJy,Total flux density in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
ferr_omegacam_i,uJy,Uncertainty on f_omegacam_i.
f_ap_omegacam_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
ferr_ap_omegacam_i,uJy,Uncertainty on f_ap_omegacam_i.
m_omegacam_i,mag,Total AB magnitude in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
merr_omegacam_i,mag,Mean error on m_omegacam_i.
m_ap_omegacam_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
merr_ap_omegacam_i,mag,Mean error on m_ap_omegacam_i
flag_omegacam_i,mag,Flag set to true for sources for which niether the omegacam_i aperture nor total flux should not be used for SED fitting (see documentation).
f_omegacam_r,uJy,Total flux density in the R band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
ferr_omegacam_r,uJy,Uncertainty on f_omegacam_r.
f_ap_omegacam_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
ferr_ap_omegacam_r,uJy,Uncertainty on f_ap_omegacam_r.
m_omegacam_r,mag,Total AB magnitude in the R band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
merr_omegacam_r,mag,Mean error on m_omegacam_r.
m_ap_omegacam_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
merr_ap_omegacam_r,mag,Mean error on m_ap_omegacam_r
flag_omegacam_r,mag,Flag set to true for sources for which niether the omegacam_r aperture nor total flux should not be used for SED fitting (see documentation).
f_omegacam_u,uJy,Total flux density in the U band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
ferr_omegacam_u,uJy,Uncertainty on f_omegacam_u.
f_ap_omegacam_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
ferr_ap_omegacam_u,uJy,Uncertainty on f_ap_omegacam_u.
m_omegacam_u,mag,Total AB magnitude in the U band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
merr_omegacam_u,mag,Mean error on m_omegacam_u.
m_ap_omegacam_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
merr_ap_omegacam_u,mag,Mean error on m_ap_omegacam_u
flag_omegacam_u,mag,Flag set to true for sources for which niether the omegacam_u aperture nor total flux should not be used for SED fitting (see documentation).
f_omegacam_z,uJy,Total flux density in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
ferr_omegacam_z,uJy,Uncertainty on f_omegacam_z.
f_ap_omegacam_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
ferr_ap_omegacam_z,uJy,Uncertainty on f_ap_omegacam_z.
m_omegacam_z,mag,Total AB magnitude in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal.
merr_omegacam_z,mag,Mean error on m_omegacam_z.
m_ap_omegacam_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of OmegaCAM on The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal."
merr_ap_omegacam_z,mag,Mean error on m_ap_omegacam_z
flag_omegacam_z,mag,Flag set to true for sources for which niether the omegacam_z aperture nor total flux should not be used for SED fitting (see documentation).
f_pacs_green,uJy,Total flux density in the 60-100um band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope.
ferr_pacs_green,uJy,Uncertainty on f_pacs_green.
f_ap_pacs_green,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 60-100um band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope."
ferr_ap_pacs_green,uJy,Uncertainty on f_ap_pacs_green.
m_pacs_green,mag,Total AB magnitude in the 60-100um band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope.
merr_pacs_green,mag,Mean error on m_pacs_green.
m_ap_pacs_green,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 60-100um band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope."
merr_ap_pacs_green,mag,Mean error on m_ap_pacs_green
flag_pacs_green,mag,Flag set to true for sources for which niether the pacs_green aperture nor total flux should not be used for SED fitting (see documentation).
f_pacs_red,uJy,Total flux density in the 1500-3000GHz band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope.
ferr_pacs_red,uJy,Uncertainty on f_pacs_red.
f_ap_pacs_red,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 1500-3000GHz band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope."
ferr_ap_pacs_red,uJy,Uncertainty on f_ap_pacs_red.
m_pacs_red,mag,Total AB magnitude in the 1500-3000GHz band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope.
merr_pacs_red,mag,Mean error on m_pacs_red.
m_ap_pacs_red,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 1500-3000GHz band of Photoconductor Array Camera and Spectrometer (PACS) on The Herschel Space Telescope."
merr_ap_pacs_red,mag,Mean error on m_ap_pacs_red
flag_pacs_red,mag,Flag set to true for sources for which niether the pacs_red aperture nor total flux should not be used for SED fitting (see documentation).
f_quirc_hk,uJy,Total flux density in the H band of The Quick Near-Infrared Camera on The University of Hawaii 2.2m telescope.
ferr_quirc_hk,uJy,Uncertainty on f_quirc_hk.
f_ap_quirc_hk,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the H band of The Quick Near-Infrared Camera on The University of Hawaii 2.2m telescope."
ferr_ap_quirc_hk,uJy,Uncertainty on f_ap_quirc_hk.
m_quirc_hk,mag,Total AB magnitude in the H band of The Quick Near-Infrared Camera on The University of Hawaii 2.2m telescope.
merr_quirc_hk,mag,Mean error on m_quirc_hk.
m_ap_quirc_hk,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the H band of The Quick Near-Infrared Camera on The University of Hawaii 2.2m telescope."
merr_ap_quirc_hk,mag,Mean error on m_ap_quirc_hk
flag_quirc_hk,mag,Flag set to true for sources for which niether the quirc_hk aperture nor total flux should not be used for SED fitting (see documentation).
f_sdss_g,uJy,Total flux density in the B band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
ferr_sdss_g,uJy,Uncertainty on f_sdss_g.
f_ap_sdss_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
ferr_ap_sdss_g,uJy,Uncertainty on f_ap_sdss_g.
m_sdss_g,mag,Total AB magnitude in the B band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
merr_sdss_g,mag,Mean error on m_sdss_g.
m_ap_sdss_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
merr_ap_sdss_g,mag,Mean error on m_ap_sdss_g
flag_sdss_g,mag,Flag set to true for sources for which niether the sdss_g aperture nor total flux should not be used for SED fitting (see documentation).
f_sdss_i,uJy,Total flux density in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
ferr_sdss_i,uJy,Uncertainty on f_sdss_i.
f_ap_sdss_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
ferr_ap_sdss_i,uJy,Uncertainty on f_ap_sdss_i.
m_sdss_i,mag,Total AB magnitude in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
merr_sdss_i,mag,Mean error on m_sdss_i.
m_ap_sdss_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
merr_ap_sdss_i,mag,Mean error on m_ap_sdss_i
flag_sdss_i,mag,Flag set to true for sources for which niether the sdss_i aperture nor total flux should not be used for SED fitting (see documentation).
f_sdss_r,uJy,Total flux density in the R band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
ferr_sdss_r,uJy,Uncertainty on f_sdss_r.
f_ap_sdss_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
ferr_ap_sdss_r,uJy,Uncertainty on f_ap_sdss_r.
m_sdss_r,mag,Total AB magnitude in the R band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
merr_sdss_r,mag,Mean error on m_sdss_r.
m_ap_sdss_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
merr_ap_sdss_r,mag,Mean error on m_ap_sdss_r
flag_sdss_r,mag,Flag set to true for sources for which niether the sdss_r aperture nor total flux should not be used for SED fitting (see documentation).
f_sdss_u,uJy,Total flux density in the U band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
ferr_sdss_u,uJy,Uncertainty on f_sdss_u.
f_ap_sdss_u,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the U band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
ferr_ap_sdss_u,uJy,Uncertainty on f_ap_sdss_u.
m_sdss_u,mag,Total AB magnitude in the U band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
merr_sdss_u,mag,Mean error on m_sdss_u.
m_ap_sdss_u,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the U band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
merr_ap_sdss_u,mag,Mean error on m_ap_sdss_u
flag_sdss_u,mag,Flag set to true for sources for which niether the sdss_u aperture nor total flux should not be used for SED fitting (see documentation).
f_sdss_z,uJy,Total flux density in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
ferr_sdss_z,uJy,Uncertainty on f_sdss_z.
f_ap_sdss_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
ferr_ap_sdss_z,uJy,Uncertainty on f_ap_sdss_z.
m_sdss_z,mag,Total AB magnitude in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory.
merr_sdss_z,mag,Mean error on m_sdss_z.
m_ap_sdss_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Sloan Digital Sky Survey (SDSS) standard camera on The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory."
merr_ap_sdss_z,mag,Mean error on m_ap_sdss_z
flag_sdss_z,mag,Flag set to true for sources for which niether the sdss_z aperture nor total flux should not be used for SED fitting (see documentation).
f_spire_250,uJy,Total flux density in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope.
ferr_spire_250,uJy,Uncertainty on f_spire_250.
f_ap_spire_250,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope."
ferr_ap_spire_250,uJy,Uncertainty on f_ap_spire_250.
m_spire_250,mag,Total AB magnitude in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope.
merr_spire_250,mag,Mean error on m_spire_250.
m_ap_spire_250,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope."
merr_ap_spire_250,mag,Mean error on m_ap_spire_250
flag_spire_250,mag,Flag set to true for sources for which niether the spire_250 aperture nor total flux should not be used for SED fitting (see documentation).
f_spire_350,uJy,Total flux density in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope.
ferr_spire_350,uJy,Uncertainty on f_spire_350.
f_ap_spire_350,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope."
ferr_ap_spire_350,uJy,Uncertainty on f_ap_spire_350.
m_spire_350,mag,Total AB magnitude in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope.
merr_spire_350,mag,Mean error on m_spire_350.
m_ap_spire_350,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 750-1500GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope."
merr_ap_spire_350,mag,Mean error on m_ap_spire_350
flag_spire_350,mag,Flag set to true for sources for which niether the spire_350 aperture nor total flux should not be used for SED fitting (see documentation).
f_spire_500,uJy,Total flux density in the 400-750GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope.
ferr_spire_500,uJy,Uncertainty on f_spire_500.
f_ap_spire_500,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the 400-750GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope."
ferr_ap_spire_500,uJy,Uncertainty on f_ap_spire_500.
m_spire_500,mag,Total AB magnitude in the 400-750GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope.
merr_spire_500,mag,Mean error on m_spire_500.
m_ap_spire_500,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the 400-750GHz band of The Spectral and Photometric Imaging Reciever (SPIRE) on The Herschel Space Telescope."
merr_ap_spire_500,mag,Mean error on m_ap_spire_500
flag_spire_500,mag,Flag set to true for sources for which niether the spire_500 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_b,uJy,Total flux density in the B band of SuprimeCam on The Subaru telescope.
ferr_suprime_b,uJy,Uncertainty on f_suprime_b.
f_ap_suprime_b,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_b,uJy,Uncertainty on f_ap_suprime_b.
m_suprime_b,mag,Total AB magnitude in the B band of SuprimeCam on The Subaru telescope.
merr_suprime_b,mag,Mean error on m_suprime_b.
m_ap_suprime_b,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_b,mag,Mean error on m_ap_suprime_b
flag_suprime_b,mag,Flag set to true for sources for which niether the suprime_b aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_g,uJy,Total flux density in the B band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_g,uJy,Uncertainty on f_suprime_g.
f_ap_suprime_g,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of HyperSuprimeCam on The Subaru telescope."
